Sales_ID,Date_Key,Product_ID,Customer_ID,Store_ID,Employee_ID,Payment_ID,Quantity,Unit_Price,Discount,Tax,Sales_Amount,Cost_Amount,Gross_Profit,Invoice_No,calculate,Difference,Date
37,20250928,60,1754,48,142,2,9,437.0,248.52,442.14,4126.62,2635.14,1491.48,INV2026000037,4126.62,0.0,2025-09-28
38,20261205,325,4326,33,126,3,2,156.6,39.8,32.81,306.21,202.59,103.62,INV2026000038,306.21,0.0,2026-12-05
39,20250104,171,2144,41,68,2,15,836.49,1609.9,1312.49,12249.94,6943.51,5306.43,INV2026000039,12249.94,0.0,2025-01-04
40,20250319,484,11322,10,140,1,12,882.11,470.29,1213.8,11328.83,6294.09,5034.74,INV2026000040,11328.829999999998,-1.8189894035458565e-12,2025-03-19
41,20251112,187,654,23,54,2,4,543.44,365.12,217.04,2025.68,1861.06,164.62,INV2026000041,2025.6800000000003,2.273736754432321e-13,2025-11-12
42,20260928,384,2533,16,222,2,6,1324.5,59.09,946.55,8834.46,6419.57,2414.89,INV2026000042,8834.46,0.0,2026-09-28
43,20251207,401,6746,43,222,2,9,255.61,483.99,217.98,2034.48,1573.28,461.2,INV2026000043,2034.48,2.273736754432321e-13,2025-12-07
44,20250209,440,7712,15,52,4,12,471.68,1350.53,517.16,4826.79,3563.97,1262.82,INV2026000044,4826.79,0.0,2025-02-09
45,20250125,338,3165,26,85,3,3,1451.0,364.51,478.62,4467.11,3371.48,1095.63,INV2026000045,4467.11,0.0,2025-01-25
46,20260214,348,8786,22,241,1,4,1318.02,413.14,583.07,5442.01,3970.96,1471.05,INV2026000046,5442.009999999999,-9.094947017729282e-13,2026-02-14
47,20250929,20,1777,39,112,3,11,665.86,2162.7,619.41,5781.17,4324.92,1456.25,INV2026000047,5781.17,0.0,2025-09-29
48,20260814,98,4174,3,182,4,1,789.48,191.02,71.82,670.28,624.0,46.28,INV2026000048,670.28,0.0,2026-08-14
49,20261118,101,5968,28,18,3,20,484.6,2465.69,867.16,8093.47,7772.15,321.32,INV2026000049,8093.469999999999,-9.094947017729282e-13,2026-11-18
50,20251104,260,5068,43,105,3,13,1051.87,2274.36,1367.99,12767.94,8439.02,4328.92,INV2026000050,12767.939999999997,-3.637978807091713e-12,2025-11-04
51,20261112,482,6212,44,192,2,20,862.28,2100.9,1817.36,16962.06,14517.41,2444.65,INV2026000051,16962.059999999998,-3.637978807091713e-12,2026-11-12
52,20251108,147,3444,28,202,5,20,988.96,2759.13,2042.41,19062.48,13939.51,5122.97,INV2026000052,19062.48,0.0,2025-11-08
53,20250807,262,7753,48,44,1,10,782.87,1486.53,761.06,7103.23,5224.22,1879.01,INV2026000053,7103.23,0.0,2025-08-07
54,20250829,345,5086,15,207,2,5,56.15,20.62,31.22,291.35,201.1,90.25,INV2026000054,291.35,0.0,2025-08-29
55,20250316,234,6791,41,148,2,13,751.68,715.25,1086.79,10143.38,7618.32,2525.06,INV2026000055,10143.38,1.8189894035458565e-12,2025-03-16
56,20250106,458,1747,50,109,2,6,1210.08,1515.8,689.36,6434.04,5173.76,1260.28,INV2026000056,6434.039999999999,-9.094947017729282e-13,2025-01-06
57,20260725,128,1989,30,35,4,17,1482.08,4500.79,2483.35,23177.92,22235.25,942.67,INV2026000057,23177.92,0.0,2026-07-25
58,20260330,314,11785,33,110,5,15,1347.87,4510.58,1884.9,17592.37,14478.87,3113.5,INV2026000058,17592.37,0.0,2026-03-30
59,20250923,385,4051,41,71,5,16,947.59,1248.99,1669.49,15581.94,8749.96,6831.98,INV2026000059,15581.94,0.0,2025-09-23
60,20251020,121,4452,22,82,5,3,224.79,46.79,75.31,702.89,534.7,168.19,INV2026000060,702.8900000000001,1.1368683772161605e-13,2025-10-20
61,20261225,110,1053,27,105,3,18,709.57,238.58,1504.04,14037.72,10748.01,3289.71,INV2026000061,14037.72,1.8189894035458565e-12,2026-12-25
62,20260203,464,9570,45,6,5,13,725.93,2669.02,812.17,7580.24,6176.71,1403.53,INV2026000062,7580.24,0.0,2026-02-03
63,20260204,437,6866,35,192,5,20,1348.76,3951.03,2762.9,25787.07,17413.23,8373.84,INV2026000063,25787.070000000003,3.637978807091713e-12,2026-02-04
64,20260513,15,6372,22,172,4,6,1263.95,2092.06,659.0,6150.64,6774.16,623.52,INV2026000064,6150.640000000001,9.094947017729282e-13,2026-05-13
65,20260701,14,6456,38,145,1,3,971.27,118.62,335.42,3130.61,2073.45,1057.16,INV2026000065,3130.61,0.0,2026-07-01
66,20250221,134,6212,21,55,4,11,519.5,1508.01,504.78,4711.27,3699.51,1011.76,INV2026000066,4711.27,-9.094947017729282e-13,2025-02-21
67,20260308,130,1342,31,5,5,2,1499.86,314.93,322.17,3006.96,2332.43,674.53,INV2026000067,3006.96,0.0,2026-03-08
68,20261030,21,509,16,52,1,20,245.53,185.95,566.96,5291.61,3851.44,1440.17,INV2026000068,5291.610000000001,9.094947017729282e-13,2026-10-30
69,20260801,486,3572,30,180,3,12,268.33,586.59,316.0,2949.37,2613.88,335.49,INV2026000069,2949.37,0.0,2026-08-01
70,20250428,399,2684,20,28,5,1,1394.75,240.93,138.46,1292.28,1210.38,81.9,INV2026000070,1292.28,0.0,2025-04-28
71,20260120,204,11715,13,20,5,8,170.81,316.67,125.98,1175.79,1158.23,17.56,INV2026000071,1175.79,0.0,2026-01-20
72,20260907,413,1984,37,201,1,12,808.46,1925.33,933.14,8709.33,5569.98,3139.35,INV2026000072,8709.33,0.0,2026-09-07
73,20261026,175,208,27,211,4,4,661.61,287.55,283.07,2641.96,2281.37,360.59,INV2026000073,2641.96,0.0,2026-10-26
74,20260416,363,2507,28,46,5,9,931.55,2313.01,728.51,6799.45,6884.27,84.82,INV2026000074,6799.449999999999,-9.094947017729282e-13,2026-04-16
75,20260422,224,11978,38,69,3,8,1249.48,259.88,1168.32,10904.28,8582.14,2322.14,INV2026000075,10904.28,0.0,2026-04-22
76,20250907,385,7614,37,157,4,11,62.48,175.45,61.42,573.25,421.75,151.5,INV2026000076,573.25,0.0,2025-09-07
77,20250806,182,4233,22,72,5,9,842.57,1175.3,768.94,7176.77,4677.8,2498.97,INV2026000077,7176.77,0.0,2025-08-06
78,20250905,369,6659,32,143,2,16,975.94,2299.26,1597.89,14913.67,12921.86,1991.81,INV2026000078,14913.67,0.0,2025-09-05
79,20250406,151,3631,26,178,2,10,1002.66,1110.01,1069.99,9986.58,7456.94,2529.64,INV2026000079,9986.58,0.0,2025-04-06
80,20251219,218,9018,22,91,4,9,473.8,294.92,476.31,4445.59,3421.81,1023.78,INV2026000080,4445.59,0.0,2025-12-19
81,20251120,62,8780,49,177,2,7,340.25,345.97,244.29,2280.07,1913.99,366.08,INV2026000081,2280.07,0.0,2025-11-20
82,20260622,306,4637,7,214,2,10,356.68,192.01,404.97,3779.76,1979.4,1800.36,INV2026000082,3779.76,0.0,2026-06-22
83,20260701,65,4495,3,250,1,18,452.36,2306.17,700.36,6536.67,6296.21,240.46,INV2026000083,6536.67,0.0,2026-07-01
84,20260518,53,201,37,73,4,16,671.89,594.59,1218.68,11374.33,6105.94,5268.39,INV2026000084,11374.33,0.0,2026-05-18
85,20260505,59,1071,26,126,1,19,951.58,290.78,2134.71,19923.95,10888.13,9035.82,INV2026000085,19923.95,0.0,2026-05-05
86,20260731,486,4979,6,64,1,18,1151.38,3769.75,2034.61,18989.7,17134.45,1855.25,INV2026000086,18989.700000000004,3.637978807091713e-12,2026-07-31
87,20250820,398,8562,25,116,4,10,1293.05,3840.48,1090.8,10180.82,8493.83,1686.99,INV2026000087,10180.82,0.0,2025-08-20
88,20260928,31,9989,48,26,2,7,411.68,70.19,337.39,3148.96,1826.9,1322.06,INV2026000088,3148.96,0.0,2026-09-28
89,20260720,39,2565,1,105,4,20,715.47,140.12,1700.31,15869.59,9313.08,6556.51,INV2026000089,15869.59,0.0,2026-07-20
90,20251017,360,7439,5,176,2,9,1185.99,2001.54,1040.68,9713.05,8340.74,1372.31,INV2026000090,9713.05,0.0,2025-10-17
91,20250722,218,1881,35,58,2,9,1243.41,239.74,1314.11,12265.06,6804.76,5460.3,INV2026000091,12265.06,1.8189894035458565e-12,2025-07-22
92,20251111,305,9326,19,113,1,15,1039.24,3272.36,1477.95,13794.19,13716.98,77.21,INV2026000092,13794.19,0.0,2025-11-11
93,20260528,277,8091,29,21,5,2,1336.35,588.96,250.05,2333.79,2034.73,299.06,INV2026000093,2333.79,0.0,2026-05-28
94,20250127,47,3751,44,215,5,19,1427.16,8131.33,2278.17,21262.88,21294.19,31.31,INV2026000094,21262.88,-3.637978807091713e-12,2025-01-27
95,20251003,296,660,49,194,2,16,788.07,1672.84,1312.35,12248.63,8162.57,4086.06,INV2026000095,12248.63,1.8189894035458565e-12,2025-10-03
96,20260823,224,10401,32,249,1,16,534.98,855.9,924.45,8628.23,6715.47,1912.76,INV2026000096,8628.230000000001,1.8189894035458565e-12,2026-08-23
97,20250614,169,6745,45,127,3,13,1224.08,2626.11,1594.43,14881.36,11285.35,3596.01,INV2026000097,14881.36,-1.8189894035458565e-12,2025-06-14
98,20251119,130,5297,8,249,4,17,1240.89,7.28,2530.54,23618.39,18021.12,5597.27,INV2026000098,23618.390000000003,3.637978807091713e-12,2025-11-19
99,20260419,212,889,13,133,3,20,1139.54,4276.07,2221.77,20736.5,18597.22,2139.28,INV2026000099,20736.5,0.0,2026-04-19
100,20250728,137,8999,9,238,3,15,1323.65,2887.15,2036.11,19003.71,11120.73,7882.98,INV2026000100,19003.71,0.0,2025-07-28
101,20261008,312,3921,46,41,3,18,40.24,88.65,76.28,711.95,455.34,256.61,INV2026000101,711.95,0.0,2026-10-08
102,20250427,237,1925,42,214,2,16,1400.33,1961.77,2453.22,22896.73,17854.63,5042.1,INV2026000102,22896.73,0.0,2025-04-27
103,20260302,428,7906,31,63,4,18,234.07,240.93,476.68,4449.01,3201.16,1247.85,INV2026000103,4449.01,0.0,2026-03-02
104,20250520,443,1144,18,198,4,11,1402.69,2350.26,1569.52,14648.85,12917.53,1731.32,INV2026000104,14648.85,0.0,2025-05-20
105,20251017,372,4892,38,149,4,5,680.89,494.67,349.17,3258.95,2268.57,990.38,INV2026000105,3258.95,0.0,2025-10-17
106,20260711,194,7461,21,223,2,8,866.26,485.58,773.34,7217.84,5692.65,1525.19,INV2026000106,7217.84,0.0,2026-07-11
107,20250214,163,7750,46,234,4,13,1482.85,4582.5,1763.35,16457.9,15001.53,1456.37,INV2026000107,16457.899999999998,-3.637978807091713e-12,2025-02-14
108,20250605,254,607,9,129,5,11,1307.16,3770.93,1272.94,11880.77,10124.19,1756.58,INV2026000108,11880.77,0.0,2025-06-05
109,20260623,467,7487,1,185,2,14,1308.98,5332.55,1559.18,14552.35,10559.09,3993.26,INV2026000109,14552.350000000002,1.8189894035458565e-12,2026-06-23
110,20250929,174,10212,45,102,1,11,1281.47,3634.03,1255.46,11717.6,9627.73,2089.87,INV2026000110,11717.6,-1.8189894035458565e-12,2025-09-29
111,20251121,321,11776,49,125,5,2,933.84,131.54,208.34,1944.48,1474.61,469.87,INV2026000111,1944.48,0.0,2025-11-21
112,20251022,117,1481,28,26,1,15,266.22,358.76,436.14,4070.68,2236.77,1833.91,INV2026000112,4070.68,0.0,2025-10-22
113,20251129,408,920,19,92,3,14,235.44,525.24,332.51,3103.43,2465.77,637.66,INV2026000113,3103.4300000000003,4.547473508864641e-13,2025-11-29
114,20250704,88,2869,6,157,4,20,1031.04,3078.69,2105.05,19647.16,15550.25,4096.91,INV2026000114,19647.16,0.0,2025-07-04
115,20250826,237,10452,17,118,3,1,1350.38,188.48,139.43,1301.33,878.65,422.68,INV2026000115,1301.3300000000002,2.273736754432321e-13,2025-08-26
116,20260714,81,1211,29,242,3,19,462.75,2537.52,750.57,7005.3,6960.03,45.27,INV2026000116,7005.299999999999,-9.094947017729282e-13,2026-07-14
117,20260413,433,4950,13,99,4,4,371.06,254.66,147.55,1377.13,1114.94,262.19,INV2026000117,1377.13,-2.273736754432321e-13,2026-04-13
118,20261218,152,360,43,102,3,1,857.57,176.44,81.74,762.87,695.18,67.69,INV2026000118,762.8700000000001,1.1368683772161605e-13,2026-12-18
119,20250220,467,9936,48,128,3,8,918.46,776.62,788.53,7359.59,5678.41,1681.18,INV2026000119,7359.59,0.0,2025-02-20
120,20260928,129,11105,49,185,2,4,1357.04,1052.53,525.08,4900.71,3572.42,1328.29,INV2026000120,4900.71,0.0,2026-09-28
121,20260328,18,9496,24,188,2,3,1366.25,401.74,443.64,4140.65,2850.38,1290.27,INV2026000121,4140.650000000001,9.094947017729282e-13,2026-03-28
122,20250725,68,8838,24,136,5,9,1249.1,866.65,1245.03,11620.28,9427.92,2192.36,INV2026000122,11620.28,0.0,2025-07-25
123,20260509,496,4836,48,223,3,4,713.13,64.44,334.57,3122.65,2321.82,800.83,INV2026000123,3122.65,0.0,2026-05-09
124,20250820,441,11081,47,173,4,18,561.35,2396.79,924.9,8632.41,5606.59,3025.82,INV2026000124,8632.410000000002,1.8189894035458565e-12,2025-08-20
125,20260704,64,7452,24,173,3,19,583.92,2125.31,1076.3,10045.47,7544.42,2501.05,INV2026000125,10045.47,0.0,2026-07-04
126,20261123,120,7725,2,159,5,11,1374.58,1004.15,1693.95,15810.18,8650.76,7159.42,INV2026000126,15810.18,0.0,2026-11-23
127,20260421,466,11487,20,167,4,4,226.87,257.61,77.98,727.85,595.79,132.06,INV2026000127,727.85,0.0,2026-04-21
128,20260520,60,1593,16,228,5,5,595.2,331.24,317.37,2962.13,2625.68,336.45,INV2026000128,2962.13,0.0,2026-05-20
129,20261215,485,8851,27,151,2,14,989.28,3463.97,1246.31,11632.26,10601.81,1030.45,INV2026000129,11632.26,0.0,2026-12-15
130,20251014,17,11310,24,56,4,15,1426.82,5492.58,1909.17,17818.89,12515.51,5303.38,INV2026000130,17818.89,0.0,2025-10-14
131,20261204,189,8921,42,92,1,13,428.3,1617.26,474.08,4424.72,4911.74,487.02,INV2026000131,4424.72,0.0,2026-12-04
132,20260411,47,10859,14,165,5,1,94.86,9.49,10.24,95.61,85.0,10.61,INV2026000132,95.61,0.0,2026-04-11
133,20260802,106,1125,49,142,2,19,339.61,1683.54,572.29,5341.34,4290.95,1050.39,INV2026000133,5341.34,0.0,2026-08-02
134,20250601,404,9765,1,71,2,5,819.52,981.6,373.92,3489.92,2411.33,1078.59,INV2026000134,3489.9200000000005,4.547473508864641e-13,2025-06-01
135,20250127,68,244,23,203,2,19,499.18,495.79,1078.64,10067.27,5390.37,4676.9,INV2026000135,10067.27,-1.8189894035458565e-12,2025-01-27
136,20260308,270,1863,48,17,4,15,1171.47,2705.59,1783.98,16650.44,10335.33,6315.11,INV2026000136,16650.44,0.0,2026-03-08
137,20260531,114,10078,3,187,5,10,697.9,2018.38,595.27,5555.89,3987.03,1568.86,INV2026000137,5555.889999999999,-9.094947017729282e-13,2026-05-31
138,20260506,434,6581,28,176,1,16,1074.35,2287.4,1788.26,16690.46,14864.59,1825.87,INV2026000138,16690.46,0.0,2026-05-06
139,20251126,312,2431,5,33,3,20,956.95,3148.5,1918.86,17909.36,12704.75,5204.61,INV2026000139,17909.36,0.0,2025-11-26
140,20260904,272,4832,30,130,5,14,166.78,491.58,221.2,2064.54,1981.13,83.41,INV2026000140,2064.54,0.0,2026-09-04
141,20261029,450,9034,47,222,2,14,688.3,660.54,1077.08,10052.74,6443.01,3609.73,INV2026000141,10052.74,0.0,2026-10-29
142,20260410,205,6816,47,25,3,14,482.53,516.57,748.66,6987.51,5970.15,1017.36,INV2026000142,6987.51,0.0,2026-04-10
143,20261205,473,7771,5,24,1,3,659.18,441.74,184.3,1720.1,1345.57,374.53,INV2026000143,1720.1,0.0,2026-12-05
144,20250514,285,983,38,245,5,18,507.88,335.23,1056.79,9863.4,6159.4,3704.0,INV2026000144,9863.4,1.8189894035458565e-12,2025-05-14
145,20261113,482,6930,47,14,3,20,482.42,299.87,1121.82,10470.35,7020.12,3450.23,INV2026000145,10470.35,-1.8189894035458565e-12,2026-11-13
146,20250608,337,7901,15,217,1,12,1271.15,1682.01,1628.61,15200.4,12461.01,2739.39,INV2026000146,15200.4,1.8189894035458565e-12,2025-06-08
147,20260811,116,7031,36,250,5,20,1018.97,3403.81,2037.07,19012.66,15552.5,3460.16,INV2026000147,19012.66,0.0,2026-08-11
148,20261105,425,11362,18,8,2,9,1059.99,884.31,1038.67,9694.27,6381.61,3312.66,INV2026000148,9694.27,0.0,2026-11-05
149,20250107,93,2348,37,169,4,3,229.97,131.05,67.06,625.92,386.85,239.07,INV2026000149,625.9199999999998,-1.1368683772161605e-13,2025-01-07
150,20260628,111,6164,27,117,3,6,567.68,737.34,320.25,2988.99,2799.43,189.56,INV2026000150,2988.99,0.0,2026-06-28
151,20260805,306,1392,4,40,2,20,93.65,45.84,219.26,2046.42,1320.63,725.79,INV2026000151,2046.42,0.0,2026-08-05
152,20260311,249,9947,29,107,3,7,1137.32,271.84,922.73,8612.13,5576.61,3035.52,INV2026000152,8612.13,0.0,2026-03-11
153,20251018,348,11117,38,125,5,10,87.22,103.42,92.25,861.03,662.67,198.36,INV2026000153,861.0300000000001,1.1368683772161605e-13,2025-10-18
154,20250108,105,4939,14,197,2,9,448.38,145.26,466.82,4356.98,2921.99,1434.99,INV2026000154,4356.98,0.0,2025-01-08
155,20260317,90,2117,25,137,2,17,846.91,2885.46,1381.44,12893.45,9703.3,3190.15,INV2026000155,12893.45,-1.8189894035458565e-12,2026-03-17
156,20260211,442,694,28,5,4,3,1295.92,671.52,385.95,3602.19,2918.5,683.69,INV2026000156,3602.19,0.0,2026-02-11
157,20261228,328,6844,19,30,4,1,1449.98,74.76,165.03,1540.25,1278.4,261.85,INV2026000157,1540.25,0.0,2026-12-28
158,20260417,426,11299,24,23,4,4,380.11,268.6,150.22,1402.06,1115.07,286.99,INV2026000158,1402.0600000000002,2.273736754432321e-13,2026-04-17
159,20260210,446,5084,48,87,2,11,1173.09,295.68,1513.0,14121.31,9957.09,4164.22,INV2026000159,14121.31,0.0,2026-02-10
160,20260628,262,3177,50,90,3,5,369.68,81.21,212.06,1979.25,1144.24,835.01,INV2026000160,1979.25,0.0,2026-06-28
161,20260909,79,10740,5,46,4,15,1136.58,3886.48,1579.47,14741.69,12055.42,2686.27,INV2026000161,14741.689999999997,-3.637978807091713e-12,2026-09-09
162,20260802,330,10409,40,83,3,5,670.85,471.86,345.89,3228.28,2586.08,642.2,INV2026000162,3228.28,-4.547473508864641e-13,2026-08-02
163,20251009,303,921,23,130,1,10,703.38,79.36,834.53,7788.97,4776.36,3012.61,INV2026000163,7788.97,0.0,2025-10-09
164,20251021,40,10563,6,158,5,17,589.03,1743.34,992.42,9262.59,8851.75,410.84,INV2026000164,9262.59,0.0,2025-10-21
165,20250212,231,9367,42,49,3,20,723.93,655.28,1658.8,15482.12,8276.78,7205.34,INV2026000165,15482.119999999995,-3.637978807091713e-12,2025-02-12
166,20250416,416,5627,46,22,5,6,77.93,99.26,44.2,412.52,419.35,6.83,INV2026000166,412.52,5.684341886080803e-14,2025-04-16
167,20260621,268,9992,11,94,3,10,593.38,1378.66,546.62,5101.76,4673.55,428.21,INV2026000167,5101.76,0.0,2026-06-21
168,20250223,405,10337,42,86,1,11,159.87,357.89,168.08,1568.76,1142.11,426.65,INV2026000168,1568.7600000000002,2.273736754432321e-13,2025-02-23
169,20261104,494,9875,10,86,1,19,1002.15,5236.69,1656.5,15460.66,12539.94,2920.72,INV2026000169,15460.66,0.0,2026-11-04
170,20261103,358,10849,26,34,5,3,478.18,162.11,152.69,1425.12,1186.48,238.64,INV2026000170,1425.12,0.0,2026-11-03
171,20250511,344,11516,48,176,5,3,976.12,371.97,306.77,2863.16,1981.45,881.71,INV2026000171,2863.1600000000003,4.547473508864641e-13,2025-05-11
172,20260107,159,2954,14,88,4,7,355.28,102.64,286.12,2670.44,1435.0,1235.44,INV2026000172,2670.44,0.0,2026-01-07
173,20250414,260,8844,48,227,5,2,999.66,525.66,176.84,1650.5,1532.1,118.4,INV2026000173,1650.4999999999998,-2.273736754432321e-13,2025-04-14
174,20260904,193,2528,11,47,5,6,1087.35,85.52,772.63,7211.21,4420.11,2791.1,INV2026000174,7211.209999999999,-9.094947017729282e-13,2026-09-04
175,20250901,497,7278,40,73,4,8,810.34,601.86,705.7,6586.56,5400.22,1186.34,INV2026000175,6586.56,0.0,2025-09-01
176,20260426,463,3179,24,174,5,15,703.29,891.75,1158.91,10816.51,7212.12,3604.39,INV2026000176,10816.509999999998,-1.8189894035458565e-12,2026-04-26
177,20260625,215,2656,13,206,5,5,1312.04,102.69,774.9,7232.41,4711.58,2520.83,INV2026000177,7232.41,0.0,2026-06-25
178,20260116,284,1681,46,217,5,4,441.89,404.66,163.55,1526.45,1140.92,385.53,INV2026000178,1526.4499999999998,-2.273736754432321e-13,2026-01-16
179,20260610,76,7168,6,243,2,15,1329.25,5565.73,1724.76,16097.78,13861.7,2236.08,INV2026000179,16097.78,0.0,2026-06-10
180,20260210,258,6127,16,99,1,12,352.32,404.2,458.84,4282.48,2471.93,1810.55,INV2026000180,4282.4800000000005,9.094947017729282e-13,2026-02-10
181,20261028,172,2393,9,10,3,16,1050.19,699.64,1932.41,18035.81,13390.98,4644.83,INV2026000181,18035.81,0.0,2026-10-28
182,20260405,316,87,6,5,3,7,1255.75,1447.24,881.16,8224.17,7072.04,1152.13,INV2026000182,8224.17,0.0,2026-04-05
183,20260625,217,1822,50,74,2,10,200.34,143.31,223.21,2083.3,1549.9,533.4,INV2026000183,2083.3,0.0,2026-06-25
184,20260930,235,1030,8,215,4,20,813.36,3084.04,1581.98,14765.14,12221.0,2544.14,INV2026000184,14765.14,0.0,2026-09-30
185,20250528,150,7033,1,158,3,8,864.58,388.67,783.36,7311.33,5421.78,1889.55,INV2026000185,7311.33,0.0,2025-05-28
186,20260621,500,5909,5,245,5,18,770.84,4113.97,1171.34,10932.49,10322.44,610.05,INV2026000186,10932.490000000002,1.8189894035458565e-12,2026-06-21
187,20260204,448,7703,3,163,4,12,395.4,23.12,566.6,5288.28,3919.12,1369.16,INV2026000187,5288.28,0.0,2026-02-04
188,20251220,124,10766,41,27,5,11,217.45,252.8,256.7,2395.85,1599.0,796.85,INV2026000188,2395.8499999999995,-4.547473508864641e-13,2025-12-20
