Inventory_ID,Date_Key,Product_ID,Store_ID,Opening_Stock,Received,Sold,Closing_Stock,Reorder_Level,Expiry_Date,Batch_No
INVT000026,20250403,PRD160,ST026,393,95,56,432,50,2027-07-09,BAT000026
INVT000027,20240510,PRD127,ST015,82,86,2,166,50,2026-11-28,BAT000027
INVT000028,20250731,PRD113,ST001,86,15,29,72,20,2026-09-01,BAT000028
INVT000029,20260915,PRD037,ST033,171,71,85,157,40,2028-04-21,BAT000029
INVT000030,20240625,PRD293,ST037,292,62,100,254,40,2026-08-15,BAT000030
INVT000031,20250218,PRD049,ST007,387,110,45,452,40,2027-04-14,BAT000031
INVT000032,20280327,PRD028,ST044,384,25,7,402,40,2030-03-09,BAT000032
INVT000033,20240323,PRD128,ST013,147,137,57,227,25,2026-05-29,BAT000033
INVT000034,20250121,PRD143,ST030,177,19,56,140,50,2026-05-01,BAT000034
INVT000035,20230727,PRD277,ST001,97,60,21,136,40,2025-12-05,BAT000035
INVT000036,20280525,PRD110,ST026,80,42,48,74,20,2030-06-28,BAT000036
INVT000037,20251222,PRD233,ST019,266,142,84,324,40,2027-05-29,BAT000037
INVT000038,20250216,PRD152,ST014,79,148,94,133,50,2026-04-19,BAT000038
INVT000039,20260708,PRD030,ST004,349,122,64,407,50,2027-12-16,BAT000039
INVT000040,20230821,PRD261,ST006,485,47,8,524,50,2024-10-28,BAT000040
INVT000041,20250821,PRD207,ST008,341,63,74,330,50,2026-09-30,BAT000041
INVT000042,20231202,PRD215,ST043,348,144,66,426,30,2025-08-25,BAT000042
INVT000043,20250416,PRD161,ST016,185,101,16,270,30,2027-07-28,BAT000043
INVT000044,20260719,PRD038,ST001,284,144,12,416,20,2029-01-19,BAT000044
INVT000045,20250523,PRD260,ST017,117,89,112,94,20,2027-01-28,BAT000045
INVT000046,20270222,PRD146,ST011,274,139,90,323,30,2029-11-09,BAT000046
INVT000047,20281206,PRD005,ST043,468,141,38,571,20,2030-04-22,BAT000047
INVT000048,20251219,PRD060,ST007,430,141,19,552,30,2027-10-03,BAT000048
INVT000049,20250512,PRD176,ST014,401,67,64,404,40,2027-01-24,BAT000049
INVT000050,20230728,PRD048,ST041,266,70,5,331,20,2025-07-03,BAT000050
INVT000051,20240619,PRD135,ST011,429,113,70,472,40,2027-01-14,BAT000051
INVT000052,20230209,PRD058,ST005,403,38,69,372,20,2025-02-21,BAT000052
INVT000053,20240829,PRD221,ST009,71,78,46,103,20,2026-08-30,BAT000053
INVT000054,20250510,PRD128,ST043,102,90,99,93,50,2027-06-30,BAT000054
INVT000055,20240925,PRD122,ST011,459,45,112,392,40,2025-10-20,BAT000055
INVT000056,20250104,PRD171,ST027,460,63,34,489,25,2027-12-23,BAT000056
INVT000057,20240318,PRD196,ST003,489,120,28,581,25,2026-07-02,BAT000057
INVT000058,20261203,PRD157,ST015,164,6,84,86,25,2029-01-14,BAT000058
INVT000059,20260906,PRD143,ST005,445,71,44,472,50,2028-10-19,BAT000059
INVT000060,20260918,PRD015,ST008,499,66,22,543,50,2028-06-15,BAT000060
INVT000061,20230606,PRD056,ST039,272,88,93,267,30,2025-08-25,BAT000061
INVT000062,20280925,PRD060,ST025,345,48,32,361,20,2031-09-20,BAT000062
INVT000063,20271122,PRD001,ST034,462,137,87,512,25,2029-11-28,BAT000063
INVT000064,20271102,PRD036,ST043,219,80,84,215,20,2029-09-04,BAT000064
INVT000065,20280908,PRD159,ST043,259,83,51,291,30,2031-03-29,BAT000065
INVT000066,20240605,PRD099,ST027,390,97,86,401,25,2027-02-25,BAT000066
INVT000067,20260517,PRD208,ST036,476,0,38,438,30,2027-12-18,BAT000067
INVT000068,20271027,PRD297,ST039,385,82,59,408,40,2030-01-21,BAT000068
INVT000069,20250525,PRD262,ST031,456,43,84,415,20,2027-03-11,BAT000069
INVT000070,20281012,PRD172,ST006,469,60,86,443,30,2030-05-30,BAT000070
INVT000071,20250326,PRD076,ST002,73,62,60,75,50,2026-06-08,BAT000071
INVT000072,20280209,PRD213,ST041,344,49,91,302,40,2030-06-29,BAT000072
INVT000073,20270625,PRD125,ST010,385,1,114,272,20,2029-09-02,BAT000073
INVT000074,20250615,PRD091,ST045,315,118,6,427,50,2027-02-25,BAT000074
INVT000075,20240512,PRD234,ST009,460,118,85,493,50,2026-12-05,BAT000075
INVT000076,20260723,PRD227,ST040,467,129,54,542,50,2028-10-21,BAT000076
INVT000077,20241013,PRD244,ST029,182,63,107,138,30,2027-03-30,BAT000077
INVT000078,20280607,PRD123,ST018,275,19,91,203,30,2030-02-02,BAT000078
INVT000079,20260117,PRD172,ST021,326,20,17,329,25,2027-09-10,BAT000079
INVT000080,20270418,PRD079,ST046,159,16,53,122,40,2029-03-21,BAT000080
INVT000081,20280323,PRD213,ST004,155,107,49,213,50,2031-03-05,BAT000081
INVT000082,20230322,PRD295,ST025,294,1,120,175,30,2025-01-20,BAT000082
INVT000083,20270517,PRD215,ST035,432,139,102,469,50,2028-12-27,BAT000083
INVT000084,20280622,PRD113,ST018,273,124,3,394,40,2030-06-01,BAT000084
INVT000085,20270715,PRD085,ST030,115,136,3,248,40,2030-03-12,BAT000085
INVT000086,20230422,PRD043,ST042,269,34,110,193,40,2024-10-24,BAT000086
INVT000087,20230725,PRD134,ST025,217,54,58,213,30,2025-07-04,BAT000087
INVT000088,20270402,PRD143,ST049,475,107,32,550,20,2029-07-26,BAT000088
INVT000089,20230321,PRD277,ST004,229,57,83,203,20,2026-01-16,BAT000089
INVT000090,20230614,PRD016,ST016,152,5,79,78,25,2025-02-12,BAT000090
INVT000091,20240601,PRD243,ST043,108,144,27,225,40,2027-05-18,BAT000091
INVT000092,20251115,PRD189,ST011,360,29,99,290,25,2027-09-29,BAT000092
INVT000093,20240318,PRD297,ST002,209,147,86,270,40,2026-04-28,BAT000093
INVT000094,20250323,PRD039,ST038,403,62,13,452,30,2028-02-21,BAT000094
INVT000095,20240510,PRD290,ST003,227,136,54,309,30,2025-07-19,BAT000095
INVT000096,20280903,PRD175,ST001,484,107,105,486,40,2029-12-20,BAT000096
INVT000097,20271111,PRD186,ST041,474,117,90,501,25,2030-01-29,BAT000097
INVT000098,20241222,PRD268,ST042,188,137,99,226,40,2027-04-12,BAT000098
INVT000099,20271120,PRD138,ST021,486,62,106,442,20,2029-08-31,BAT000099
INVT000100,20280121,PRD125,ST049,287,145,78,354,40,2029-12-30,BAT000100
INVT000101,20230428,PRD254,ST021,143,124,27,240,30,2025-01-16,BAT000101
INVT000102,20261026,PRD144,ST039,409,70,71,408,20,2029-04-07,BAT000102
INVT000103,20250221,PRD044,ST016,418,104,62,460,50,2026-10-25,BAT000103
INVT000104,20280504,PRD252,ST029,455,4,11,448,30,2029-12-16,BAT000104
INVT000105,20270715,PRD125,ST020,389,148,47,490,40,2030-01-31,BAT000105
INVT000106,20281214,PRD177,ST028,431,140,42,529,30,2031-12-03,BAT000106
INVT000107,20280202,PRD139,ST020,178,59,15,222,25,2029-12-21,BAT000107
INVT000108,20240504,PRD275,ST049,403,47,24,426,25,2026-09-11,BAT000108
INVT000109,20260206,PRD269,ST039,194,25,106,113,25,2027-12-06,BAT000109
INVT000110,20250720,PRD185,ST012,204,3,90,117,50,2026-11-26,BAT000110
INVT000111,20260128,PRD024,ST004,333,74,89,318,25,2028-11-11,BAT000111
INVT000112,20280703,PRD053,ST001,343,72,60,355,40,2030-09-27,BAT000112
INVT000113,20261027,PRD095,ST004,179,122,14,287,20,2028-12-10,BAT000113
INVT000114,20280707,PRD038,ST037,372,13,19,366,25,2031-02-03,BAT000114
INVT000115,20260529,PRD044,ST016,110,142,97,155,40,2029-02-07,BAT000115
INVT000116,20250713,PRD268,ST025,280,113,38,355,50,2027-09-25,BAT000116
INVT000117,20260604,PRD292,ST040,80,25,97,8,25,2029-03-05,BAT000117
INVT000118,20250514,PRD136,ST043,91,40,30,101,25,2027-11-30,BAT000118
INVT000119,20231104,PRD081,ST001,259,115,88,286,50,2026-02-27,BAT000119
INVT000120,20260407,PRD017,ST015,197,72,89,180,40,2027-06-18,BAT000120
INVT000121,20250814,PRD136,ST041,351,50,54,347,20,2028-02-22,BAT000121
INVT000122,20250709,PRD077,ST018,473,36,9,500,20,2026-12-25,BAT000122
INVT000123,20260613,PRD292,ST019,274,31,59,246,30,2029-05-29,BAT000123
INVT000124,20270707,PRD140,ST033,326,126,56,396,20,2030-03-10,BAT000124
INVT000125,20230613,PRD222,ST048,215,64,3,276,20,2025-02-01,BAT000125
INVT000126,20230326,PRD138,ST037,70,44,60,54,50,2026-01-21,BAT000126
INVT000127,20271217,PRD143,ST012,349,111,81,379,40,2029-03-19,BAT000127
INVT000128,20280409,PRD179,ST027,220,82,85,217,20,2029-09-20,BAT000128
INVT000129,20260912,PRD211,ST045,303,73,84,292,40,2029-03-28,BAT000129
INVT000130,20230531,PRD233,ST006,211,64,41,234,20,2025-07-17,BAT000130
INVT000131,20281008,PRD001,ST043,495,138,59,574,40,2029-12-02,BAT000131
INVT000132,20250207,PRD266,ST024,368,127,80,415,40,2026-03-31,BAT000132
INVT000133,20250413,PRD137,ST036,117,73,56,134,40,2026-08-15,BAT000133
INVT000134,20230429,PRD123,ST046,131,79,70,140,20,2025-11-14,BAT000134
INVT000135,20270730,PRD048,ST015,480,29,59,450,20,2030-05-23,BAT000135
INVT000136,20240922,PRD256,ST046,199,130,90,239,30,2026-11-21,BAT000136
INVT000137,20280530,PRD242,ST016,283,141,18,406,40,2029-12-11,BAT000137
INVT000138,20280912,PRD070,ST005,191,106,43,254,50,2030-06-12,BAT000138
INVT000139,20230111,PRD145,ST047,202,150,74,278,40,2024-06-11,BAT000139
INVT000140,20280104,PRD276,ST031,226,85,70,241,50,2030-01-24,BAT000140
INVT000141,20280209,PRD165,ST013,407,61,73,395,40,2029-10-05,BAT000141
INVT000142,20270810,PRD023,ST021,431,121,90,462,40,2029-09-08,BAT000142
INVT000143,20240915,PRD254,ST003,114,128,75,167,30,2025-12-26,BAT000143
INVT000144,20271209,PRD052,ST034,283,3,92,194,25,2030-01-31,BAT000144
INVT000145,20240924,PRD039,ST031,450,67,43,474,50,2027-09-03,BAT000145
INVT000146,20270617,PRD042,ST022,486,136,48,574,30,2030-03-19,BAT000146
INVT000147,20280621,PRD278,ST003,366,17,30,353,30,2030-02-08,BAT000147
INVT000148,20240106,PRD223,ST007,439,25,56,408,25,2026-12-16,BAT000148
INVT000149,20260511,PRD015,ST003,216,14,37,193,30,2028-05-28,BAT000149
INVT000150,20271031,PRD075,ST016,321,105,72,354,25,2029-04-22,BAT000150
INVT000151,20241218,PRD041,ST040,495,97,79,513,25,2027-05-11,BAT000151
INVT000152,20240809,PRD119,ST030,376,65,58,383,30,2027-06-22,BAT000152
INVT000153,20230208,PRD239,ST019,396,139,20,515,20,2025-05-05,BAT000153
INVT000154,20261116,PRD154,ST041,267,64,58,273,30,2028-06-06,BAT000154
INVT000155,20270425,PRD248,ST007,171,97,73,195,30,2029-12-03,BAT000155
INVT000156,20260426,PRD152,ST002,474,101,35,540,20,2028-11-25,BAT000156
INVT000157,20230720,PRD255,ST019,447,58,77,428,30,2025-02-28,BAT000157
INVT000158,20250217,PRD129,ST044,436,35,80,391,20,2027-11-21,BAT000158
INVT000159,20230611,PRD159,ST029,67,148,46,169,25,2024-09-10,BAT000159
INVT000160,20260423,PRD168,ST048,262,44,25,281,25,2028-10-26,BAT000160
INVT000161,20270207,PRD272,ST033,189,42,32,199,40,2028-12-05,BAT000161
INVT000162,20261019,PRD059,ST030,88,36,96,28,25,2029-09-10,BAT000162
INVT000163,20270616,PRD286,ST024,96,101,1,196,30,2029-12-16,BAT000163
INVT000164,20240521,PRD233,ST024,394,67,74,387,40,2027-03-05,BAT000164
INVT000165,20270302,PRD056,ST044,169,120,3,286,50,2029-09-26,BAT000165
INVT000166,20260905,PRD114,ST042,82,118,116,84,30,2029-06-30,BAT000166
INVT000167,20270731,PRD060,ST009,73,9,38,44,40,2028-11-25,BAT000167
INVT000168,20240203,PRD121,ST035,119,99,58,160,30,2026-12-20,BAT000168
INVT000169,20270913,PRD080,ST027,385,25,106,304,40,2030-06-04,BAT000169
INVT000170,20270730,PRD144,ST003,403,94,27,470,40,2029-10-27,BAT000170
INVT000171,20250825,PRD186,ST007,401,94,69,426,30,2026-10-26,BAT000171
INVT000172,20270619,PRD142,ST013,112,116,11,217,25,2030-04-06,BAT000172
INVT000173,20230329,PRD026,ST022,174,32,100,106,50,2024-10-24,BAT000173
INVT000174,20231009,PRD284,ST014,350,55,104,301,25,2025-09-09,BAT000174
INVT000175,20240827,PRD002,ST018,489,37,16,510,50,2026-05-10,BAT000175
INVT000176,20241215,PRD057,ST043,493,6,16,483,20,2026-12-16,BAT000176
INVT000177,20250901,PRD166,ST002,139,67,6,200,25,2027-11-06,BAT000177
INVT000178,20281124,PRD059,ST048,82,121,57,146,30,2031-05-03,BAT000178
INVT000179,20240322,PRD232,ST033,163,11,93,81,50,2026-01-24,BAT000179
INVT000180,20280220,PRD016,ST004,295,102,54,343,20,2030-07-06,BAT000180
INVT000181,20271222,PRD038,ST006,214,37,8,243,25,2029-09-28,BAT000181
INVT000182,20260824,PRD196,ST039,321,75,58,338,50,2029-05-04,BAT000182
INVT000183,20271029,PRD051,ST045,108,141,92,157,25,2030-01-11,BAT000183
INVT000184,20280124,PRD117,ST027,223,116,51,288,40,2029-04-30,BAT000184
INVT000185,20260704,PRD219,ST021,390,65,47,408,25,2029-06-06,BAT000185
INVT000186,20280426,PRD035,ST006,475,21,11,485,40,2029-08-02,BAT000186
INVT000187,20270307,PRD067,ST036,80,150,71,159,50,2029-02-06,BAT000187
INVT000188,20240515,PRD211,ST023,497,108,111,494,20,2026-03-05,BAT000188
INVT000189,20260703,PRD181,ST007,345,129,27,447,25,2029-05-05,BAT000189
INVT000190,20280529,PRD115,ST007,229,142,47,324,20,2030-03-10,BAT000190
INVT000191,20250715,PRD220,ST036,442,142,3,581,50,2028-05-18,BAT000191
INVT000192,20251231,PRD015,ST012,189,79,117,151,30,2027-12-25,BAT000192
INVT000193,20230126,PRD093,ST010,339,102,8,433,25,2025-11-04,BAT000193
INVT000194,20230506,PRD047,ST048,321,55,48,328,40,2025-08-12,BAT000194
INVT000195,20261028,PRD081,ST024,209,83,99,193,50,2029-06-29,BAT000195
INVT000196,20231214,PRD027,ST010,130,12,86,56,20,2025-09-17,BAT000196
INVT000197,20271220,PRD218,ST032,360,113,53,420,30,2029-07-27,BAT000197
INVT000198,20280929,PRD059,ST023,270,28,36,262,50,2031-02-09,BAT000198
INVT000199,20281128,PRD158,ST003,162,101,76,187,20,2029-12-05,BAT000199
INVT000200,20250417,PRD155,ST014,442,35,97,380,30,2027-02-07,BAT000200
INVT000201,20260905,PRD062,ST001,304,110,22,392,25,2028-09-28,BAT000201
INVT000202,20281221,PRD118,ST033,336,90,9,417,40,2030-02-02,BAT000202
INVT000203,20271122,PRD010,ST030,89,80,73,96,40,2030-07-01,BAT000203
INVT000204,20270715,PRD214,ST019,108,103,2,209,30,2029-01-05,BAT000204
INVT000205,20280228,PRD186,ST006,273,27,31,269,40,2030-10-23,BAT000205
INVT000206,20270629,PRD269,ST006,252,79,95,236,30,2029-02-09,BAT000206
INVT000207,20260926,PRD087,ST005,311,29,67,273,50,2028-04-11,BAT000207
INVT000208,20261202,PRD180,ST047,469,37,30,476,20,2028-04-29,BAT000208
INVT000209,20251114,PRD102,ST012,358,39,97,300,20,2027-05-14,BAT000209
INVT000210,20280716,PRD238,ST049,338,148,57,429,50,2031-05-05,BAT000210
INVT000211,20260816,PRD162,ST010,275,17,60,232,40,2029-05-23,BAT000211
INVT000212,20260525,PRD141,ST038,78,90,64,104,20,2028-04-06,BAT000212
INVT000213,20280306,PRD232,ST003,79,94,106,67,30,2029-05-23,BAT000213
INVT000214,20240105,PRD260,ST025,286,148,70,364,20,2026-04-09,BAT000214
INVT000215,20250210,PRD165,ST039,293,128,19,402,20,2027-05-17,BAT000215
INVT000216,20240228,PRD176,ST046,93,129,82,140,25,2025-04-08,BAT000216
INVT000217,20251011,PRD225,ST029,318,133,78,373,25,2027-10-18,BAT000217
INVT000218,20270308,PRD145,ST025,259,86,86,259,50,2028-04-29,BAT000218
INVT000219,20261002,PRD034,ST022,98,142,86,154,40,2028-07-18,BAT000219
INVT000220,20251029,PRD077,ST022,91,149,84,156,25,2027-10-22,BAT000220
INVT000221,20260624,PRD201,ST009,354,21,39,336,50,2028-07-13,BAT000221
INVT000222,20260907,PRD066,ST043,409,134,11,532,40,2029-02-08,BAT000222
INVT000223,20270122,PRD010,ST024,208,46,27,227,30,2029-06-02,BAT000223
INVT000224,20250225,PRD116,ST009,129,19,37,111,20,2027-07-29,BAT000224
INVT000225,20281126,PRD020,ST043,222,33,76,179,40,2030-05-02,BAT000225
INVT000226,20241026,PRD093,ST045,444,42,92,394,40,2025-12-09,BAT000226
INVT000227,20270810,PRD187,ST044,418,60,56,422,50,2029-05-27,BAT000227
INVT000228,20280113,PRD120,ST035,172,79,103,148,40,2029-07-29,BAT000228
INVT000229,20270215,PRD293,ST029,286,72,99,259,40,2029-07-13,BAT000229
INVT000230,20281130,PRD215,ST011,468,51,102,417,50,2030-04-20,BAT000230
INVT000231,20251021,PRD027,ST042,296,95,70,321,20,2028-10-18,BAT000231
INVT000232,20281014,PRD064,ST019,92,41,34,99,40,2031-03-23,BAT000232
INVT000233,20240826,PRD224,ST006,163,115,113,165,30,2025-09-22,BAT000233
INVT000234,20270827,PRD028,ST026,307,95,30,372,40,2028-11-17,BAT000234
INVT000235,20270316,PRD115,ST002,213,25,107,131,30,2028-08-11,BAT000235
INVT000236,20240717,PRD020,ST019,474,120,89,505,25,2027-07-09,BAT000236
INVT000237,20280405,PRD230,ST040,52,20,2,70,30,2029-11-11,BAT000237
INVT000238,20240904,PRD281,ST047,361,135,54,442,20,2026-06-26,BAT000238
INVT000239,20250831,PRD155,ST008,74,61,53,82,50,2027-12-12,BAT000239
INVT000240,20230915,PRD057,ST032,355,137,2,490,50,2026-04-25,BAT000240
INVT000241,20250917,PRD074,ST019,269,0,78,191,30,2027-05-21,BAT000241
INVT000242,20270903,PRD096,ST043,392,21,67,346,30,2028-11-10,BAT000242
INVT000243,20281124,PRD279,ST033,452,129,70,511,20,2030-12-28,BAT000243
INVT000244,20280409,PRD023,ST041,248,95,32,311,20,2030-04-09,BAT000244
INVT000245,20231004,PRD177,ST016,425,26,98,353,50,2025-09-08,BAT000245
INVT000246,20240630,PRD023,ST023,329,86,104,311,25,2027-06-01,BAT000246
INVT000247,20280318,PRD246,ST041,143,34,8,169,40,2029-04-24,BAT000247
INVT000248,20260416,PRD104,ST003,455,51,113,393,20,2028-03-04,BAT000248
INVT000249,20260624,PRD264,ST026,467,139,60,546,30,2027-07-31,BAT000249
INVT000250,20250221,PRD147,ST023,491,12,110,393,30,2026-11-27,BAT000250
INVT000251,20240524,PRD189,ST028,254,112,114,252,40,2026-05-06,BAT000251
INVT000252,20250204,PRD255,ST045,304,94,118,280,50,2026-11-04,BAT000252
INVT000253,20231205,PRD218,ST006,270,46,69,247,30,2025-10-28,BAT000253
INVT000254,20240225,PRD041,ST021,388,75,39,424,40,2026-11-03,BAT000254
INVT000255,20271012,PRD086,ST045,277,89,57,309,20,2029-10-07,BAT000255
INVT000256,20271117,PRD141,ST041,455,14,9,460,40,2029-11-23,BAT000256
INVT000257,20281002,PRD082,ST002,123,112,4,231,25,2029-12-09,BAT000257
INVT000258,20250824,PRD188,ST024,246,145,4,387,50,2027-01-28,BAT000258
INVT000259,20280117,PRD190,ST024,277,19,73,223,25,2030-07-12,BAT000259
INVT000260,20270212,PRD204,ST021,382,71,31,422,20,2028-03-09,BAT000260
INVT000261,20250201,PRD256,ST034,248,143,15,376,30,2026-10-25,BAT000261
INVT000262,20280102,PRD110,ST040,196,125,25,296,20,2029-05-19,BAT000262
INVT000263,20231031,PRD232,ST012,415,113,11,517,30,2026-09-13,BAT000263
INVT000264,20261124,PRD034,ST036,327,74,114,287,30,2028-05-03,BAT000264
INVT000265,20241214,PRD186,ST033,164,31,25,170,25,2026-08-13,BAT000265
INVT000266,20280716,PRD014,ST024,333,146,47,432,40,2031-01-31,BAT000266
INVT000267,20240615,PRD045,ST005,208,101,91,218,40,2026-12-05,BAT000267
INVT000268,20270810,PRD210,ST037,87,32,40,79,20,2029-11-12,BAT000268
INVT000269,20280323,PRD265,ST023,115,141,81,175,50,2029-09-25,BAT000269
INVT000270,20240612,PRD222,ST033,494,14,106,402,20,2026-11-24,BAT000270
INVT000271,20240918,PRD156,ST011,132,82,119,95,25,2026-09-07,BAT000271
INVT000272,20281026,PRD146,ST006,178,50,81,147,50,2030-08-03,BAT000272
INVT000273,20240527,PRD156,ST040,323,23,64,282,25,2027-01-23,BAT000273
INVT000274,20240923,PRD088,ST043,369,86,107,348,50,2025-11-04,BAT000274
INVT000275,20230427,PRD042,ST003,378,147,33,492,25,2025-12-02,BAT000275
INVT000276,20270903,PRD016,ST032,371,139,37,473,30,2030-01-09,BAT000276
INVT000277,20250930,PRD208,ST020,282,18,88,212,20,2027-03-10,BAT000277
INVT000278,20271206,PRD213,ST031,287,52,43,296,50,2029-05-01,BAT000278
INVT000279,20260704,PRD164,ST047,490,88,51,527,25,2028-07-17,BAT000279
INVT000280,20281010,PRD288,ST007,213,61,59,215,20,2030-07-10,BAT000280
INVT000281,20280116,PRD127,ST010,99,12,37,74,40,2030-10-07,BAT000281
INVT000282,20270909,PRD128,ST011,466,83,119,430,50,2029-07-25,BAT000282
INVT000283,20250216,PRD082,ST032,313,119,63,369,30,2027-07-10,BAT000283
INVT000284,20230405,PRD047,ST026,308,117,30,395,25,2025-11-22,BAT000284
INVT000285,20261216,PRD025,ST004,194,126,76,244,40,2028-10-03,BAT000285
INVT000286,20230203,PRD056,ST028,118,67,93,92,30,2025-03-21,BAT000286
INVT000287,20270207,PRD024,ST026,76,145,71,150,25,2029-02-12,BAT000287
INVT000288,20260328,PRD038,ST025,308,115,97,326,50,2028-01-08,BAT000288
INVT000289,20240501,PRD066,ST007,251,95,101,245,30,2026-11-23,BAT000289
INVT000290,20270206,PRD074,ST013,358,130,51,437,50,2028-03-18,BAT000290
INVT000291,20230705,PRD020,ST009,415,85,102,398,40,2025-12-17,BAT000291
INVT000292,20280215,PRD077,ST039,313,35,41,307,50,2030-01-06,BAT000292
INVT000293,20241027,PRD202,ST040,428,76,75,429,30,2027-03-30,BAT000293
INVT000294,20280918,PRD273,ST032,412,144,38,518,40,2029-10-05,BAT000294
INVT000295,20270217,PRD170,ST044,106,106,74,138,30,2030-01-21,BAT000295
INVT000296,20230420,PRD243,ST017,385,148,73,460,25,2024-06-10,BAT000296
INVT000297,20280521,PRD088,ST034,372,97,18,451,25,2029-06-22,BAT000297
INVT000298,20240326,PRD098,ST002,275,80,53,302,25,2026-05-22,BAT000298
INVT000299,20250415,PRD211,ST033,446,120,111,455,20,2028-04-06,BAT000299
INVT000300,20240719,PRD266,ST014,337,83,84,336,40,2027-01-08,BAT000300
INVT000301,20270324,PRD161,ST012,285,136,43,378,50,2029-03-20,BAT000301
INVT000302,20251218,PRD248,ST013,176,71,71,176,30,2027-08-05,BAT000302
INVT000303,20260504,PRD148,ST046,156,125,40,241,40,2028-04-25,BAT000303
INVT000304,20260125,PRD148,ST008,343,139,48,434,40,2028-01-13,BAT000304
INVT000305,20240822,PRD149,ST003,197,20,44,173,40,2027-06-24,BAT000305
INVT000306,20251116,PRD246,ST014,153,137,34,256,50,2028-10-28,BAT000306
INVT000307,20260117,PRD071,ST007,365,150,30,485,25,2027-03-09,BAT000307
INVT000308,20281215,PRD116,ST041,169,13,12,170,40,2030-11-18,BAT000308
INVT000309,20280418,PRD052,ST044,444,35,0,479,50,2029-09-26,BAT000309
INVT000310,20270725,PRD244,ST031,383,51,96,338,30,2029-06-17,BAT000310
INVT000311,20260315,PRD031,ST050,95,146,29,212,50,2027-04-22,BAT000311
INVT000312,20241218,PRD214,ST012,68,101,100,69,40,2026-06-26,BAT000312
INVT000313,20260331,PRD020,ST001,202,145,77,270,20,2028-03-08,BAT000313
INVT000314,20260311,PRD233,ST042,328,134,63,399,25,2028-08-08,BAT000314
INVT000315,20280401,PRD140,ST013,464,28,42,450,25,2030-07-14,BAT000315
INVT000316,20251119,PRD096,ST001,427,86,101,412,30,2028-06-22,BAT000316
INVT000317,20250302,PRD090,ST040,488,103,105,486,40,2027-08-11,BAT000317
INVT000318,20260905,PRD045,ST026,392,24,23,393,25,2029-01-05,BAT000318
INVT000319,20260818,PRD128,ST001,183,98,30,251,40,2028-05-17,BAT000319
INVT000320,20260912,PRD155,ST038,420,146,1,565,30,2029-07-12,BAT000320
INVT000321,20270112,PRD121,ST004,391,30,59,362,30,2028-06-23,BAT000321
INVT000322,20270719,PRD258,ST046,444,79,88,435,20,2030-05-03,BAT000322
INVT000323,20260423,PRD189,ST040,163,56,17,202,40,2027-09-26,BAT000323
INVT000324,20280207,PRD192,ST027,409,140,116,433,40,2030-08-10,BAT000324
INVT000325,20250613,PRD127,ST044,436,20,67,389,40,2027-12-05,BAT000325
INVT000326,20270121,PRD040,ST037,107,15,106,16,50,2029-06-21,BAT000326
INVT000327,20250408,PRD294,ST035,126,42,41,127,50,2027-07-04,BAT000327
INVT000328,20240421,PRD106,ST046,348,125,11,462,50,2026-07-21,BAT000328
INVT000329,20230816,PRD233,ST009,312,106,58,360,50,2024-10-13,BAT000329
